Timestamp,Raw_Range,Range_m
09:01:01,1.957,-0.711
09:01:01,1.986,-0.703
09:01:01,1.936,-0.716
09:01:01,1.918,-0.721
09:01:01,1.928,-0.718
09:01:01,1.838,-0.740
09:01:01,1.735,-0.766
09:01:01,1.942,-0.714
09:01:01,1.831,-0.742
09:01:01,1.783,-0.754
09:01:01,1.706,-0.773
09:01:01,1.851,-0.737
09:01:01,1.854,-0.737
09:01:01,1.966,-0.709
09:01:01,1.882,-0.730
09:01:01,1.818,-0.745
09:01:01,2.019,-0.695
09:01:01,1.863,-0.734
09:01:01,1.822,-0.744
09:01:01,1.943,-0.714
09:01:01,1.803,-0.749
09:01:01,1.902,-0.724
09:01:01,1.845,-0.739
09:01:01,1.865,-0.734
09:01:01,1.896,-0.726
09:01:01,1.888,-0.728
09:01:01,1.891,-0.727
09:01:01,1.861,-0.735
09:01:01,1.859,-0.735
09:01:01,1.870,-0.733
09:01:01,1.899,-0.725
09:01:01,1.830,-0.742
09:01:01,1.914,-0.722
09:01:01,1.907,-0.723
09:01:01,1.883,-0.729
09:01:01,1.902,-0.724
09:01:01,1.847,-0.738
09:01:01,1.879,-0.730
09:01:01,1.885,-0.729
09:01:01,1.867,-0.733
09:01:01,1.907,-0.723
09:01:01,1.886,-0.728
09:01:01,1.873,-0.732
09:01:01,1.878,-0.731
09:01:01,1.828,-0.743
09:01:02,1.851,-0.737
09:01:02,1.854,-0.736
09:01:02,1.853,-0.737
09:01:02,1.860,-0.735
09:01:02,1.842,-0.739
09:01:02,1.844,-0.739
09:01:02,1.850,-0.737
09:01:02,1.829,-0.743
09:01:02,1.859,-0.735
09:01:02,1.859,-0.735
09:01:02,1.835,-0.741
09:01:02,1.850,-0.737
09:01:02,1.840,-0.740
09:01:02,1.837,-0.741
09:01:02,1.857,-0.736
09:01:02,1.838,-0.740
09:01:02,1.846,-0.739
09:01:02,1.859,-0.735
09:01:02,1.835,-0.741
09:01:02,1.842,-0.740
09:01:02,1.866,-0.734
09:01:03,1.834,-0.742
09:01:03,1.863,-0.734
09:01:03,1.843,-0.739
09:01:03,1.820,-0.745
09:01:03,1.882,-0.730
09:01:03,1.855,-0.736
09:01:03,1.850,-0.737
09:01:03,1.862,-0.734
09:01:03,1.874,-0.731
09:01:03,1.868,-0.733
09:01:03,1.877,-0.731
09:01:03,1.840,-0.740
09:01:03,1.850,-0.738
09:01:03,1.874,-0.731
09:01:03,1.896,-0.726
09:01:03,1.889,-0.728
09:01:03,1.831,-0.742
09:01:03,1.923,-0.719
09:01:03,1.896,-0.726
09:01:03,1.872,-0.732
09:01:04,1.936,-0.716
09:01:04,1.969,-0.708
09:01:04,2.070,-0.683
09:01:04,2.251,-0.637
09:01:04,2.214,-0.646
09:01:04,2.139,-0.665
09:01:04,2.195,-0.651
09:01:04,2.212,-0.647
09:01:04,2.194,-0.652
09:01:04,2.221,-0.645
09:01:04,2.050,-0.687
09:01:04,2.228,-0.643
09:01:04,2.181,-0.655
09:01:04,2.079,-0.680
09:01:04,1.949,-0.713
09:01:04,2.007,-0.698
09:01:04,1.941,-0.715
09:01:04,1.942,-0.715
09:01:04,1.979,-0.705
09:01:05,1.965,-0.709
09:01:05,1.930,-0.718
09:01:05,1.916,-0.721
09:01:05,1.936,-0.716
09:01:05,1.946,-0.713
09:01:05,1.911,-0.722
09:01:05,1.949,-0.713
09:01:05,1.981,-0.705
09:01:05,1.953,-0.712
09:01:05,2.002,-0.700
09:01:05,1.963,-0.709
09:01:05,1.961,-0.710
09:01:05,1.974,-0.707
09:01:05,1.965,-0.709
09:01:05,1.969,-0.708
09:01:05,1.949,-0.713
09:01:05,1.945,-0.714
09:01:05,1.949,-0.713
09:01:05,1.939,-0.715
09:01:05,1.955,-0.711
09:01:05,1.971,-0.707
09:01:06,1.954,-0.711
09:01:06,1.964,-0.709
09:01:06,1.943,-0.714
09:01:06,1.954,-0.712
09:01:06,1.964,-0.709
09:01:06,1.955,-0.711
09:01:06,1.974,-0.706
09:01:06,2.021,-0.695
09:01:06,1.973,-0.707
09:01:06,1.990,-0.702
09:01:06,2.013,-0.697
09:01:06,1.932,-0.717
09:01:06,2.007,-0.698
09:01:06,1.948,-0.713
09:01:06,1.941,-0.715
09:01:06,1.973,-0.707
09:01:06,2.026,-0.694
09:01:06,2.018,-0.695
09:01:06,2.000,-0.700
09:01:06,1.985,-0.704
09:01:07,2.000,-0.700
09:01:07,2.003,-0.699
09:01:07,2.018,-0.696
09:01:07,1.990,-0.703
09:01:07,1.968,-0.708
09:01:07,1.918,-0.721
