Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.83,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.00,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.17,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.34,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.48,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.67,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.83,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
1.98,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
2.16,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
2.34,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
2.54,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
2.69,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
2.85,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.01,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.19,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.35,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.51,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.67,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
3.84,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.00,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.18,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.35,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.52,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.68,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
4.85,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.03,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.19,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.35,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.52,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.68,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
5.86,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
6.02,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
6.16,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
6.48,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
6.66,133.33,7.03,1.000,99.6094,48.0469,133.33,7.03
6.82,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
6.98,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.15,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.30,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.45,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.61,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.76,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
7.97,80.00,9.38,1.000,99.6094,48.0469,80.00,9.38
8.13,80.00,9.38,1.000,165.2344,48.0469,80.00,9.38
8.30,80.00,9.38,1.000,165.2344,48.0469,80.00,9.38
8.69,80.00,9.38,1.000,165.2344,48.0469,80.00,9.38
8.94,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
9.14,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
9.33,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
9.56,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
9.80,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
10.04,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
10.29,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
10.57,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
10.83,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
11.07,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
11.30,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
11.54,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
11.79,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
12.02,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
12.26,80.00,9.38,1.000,165.2344,46.8750,80.00,9.38
